"id","treeID","creatorID","specID","easting","northing","height","DBH","remarks","plot"
1050,"r00974","SBSF","BUR",477603.54,5632162.5,27,0.18,NA,"fs-015"
1051,"r00975","SBSF","BUR",477600.54,5632161.37,27,0.15,NA,"fs-015"
1052,"r00976","SBSF","BUR",477604.03,5632160.33,27,0.21,NA,"fs-015"
1053,"r00977","SBSF","BUR",477604.11,5632159.25,27,0.11,NA,"fs-015"
1054,"r00978","SBSF","BUR",477607.32,5632159.53,27,0.1,NA,"fs-015"
1055,"r00979","SBSF","BUR",477603.03,5632155.15,27,0.2,NA,"fs-015"
1056,"r00980","SBSF","BUR",477603.41,5632154.61,27,0.09,NA,"fs-015"
1057,"r00981","SBSF","BUR",477602.93,5632157.95,27,0.15,NA,"fs-015"
1058,"r00982","SBSF","BUR",477604.64,5632154.34,27,0.18,NA,"fs-015"
1059,"r00983","SBSF","BUR",477604.52,5632153.33,27,0.18,NA,"fs-015"
1060,"r00984","SBSF","BUR",477606.83,5632152.82,27,0.11,NA,"fs-015"
1061,"r00985","SBSF","BUR",477608.57,5632157.61,27,0.29,NA,"fs-015"
1062,"r00986","SBSF","BUR",477609.38,5632158.22,27,0.08,"Totholz","fs-015"
1063,"r00987","SBSF","AHB",477611.1,5632154.77,27,0.16,NA,"fs-015"
1064,"r00988","SBSF","AHB",477612.98,5632153.01,27,0.14,NA,"fs-015"
1065,"r00989","SBSF","BUR",477614.94,5632152.71,27,0.16,NA,"fs-015"
1066,"r00990","SBSF","BUR",477617.22,5632155.26,27,0.11,"Totholz","fs-015"
1067,"r00991","SBSF","BUR",477616.83,5632155.58,27,0.18,NA,"fs-015"
1068,"r00992","SBSF","BUR",477615.93,5632157.02,27,0.13,NA,"fs-015"
1069,"r00993","SBSF","BUR",477614.63,5632157.96,27,0.18,NA,"fs-015"
1070,"r00994","SBSF","BUR",477612.85,5632159.25,27,0.11,NA,"fs-015"
1071,"r00995","SBSF","BUR",477613.42,5632158.84,27,0.25,NA,"fs-015"
1072,"r00996","SBSF","BUR",477618.23,5632157.15,27,0.18,NA,"fs-015"
1073,"r00997","SBSF","BUR",477613.69,5632159.7,27,0.18,NA,"fs-015"
1074,"r00998","SBSF","BUR",477615.33,5632158.97,27,0.13,NA,"fs-015"
1075,"r00999","SBSF","BUR",477613.16,5632160,27,0.09,NA,"fs-015"
1076,"r00767","jk","BUR",477530.41,5631784.89,NA,0.45,NA,"fs-010"
